Package,New Name of Package,Package Priority,Developer in Master List,PR Number,Link of PR Raised,PR Status,PR Creation Date,Upgrade Required,Final Upgrade Decision (Y/N),Build Status,Version in Build Status,Release in Build Status,Download Success,Number SRPMs downloaded,Dowloaded SRPM 1,Dowloaded SRPM 2,Dowloaded SRPM 3,Version Downloaded SRPM,Release Downloaded SRPM,Package location info,Package Version in 3.0-dev,Bulk Build Success,Bulk Build Number of SRPMs,Developer from under review sheet,Under Review PR Link,Reviewer,Review Status,PR Origin,TopicBranch
CharLS,NA,P1,Jyoti,10532,https://github.com/microsoft/azurelinux/pull/10532,MERGED,2024-09-24T13:58:56Z,N,Y,Built,2.4.2,1.azl3,1,1,CharLS-2.4.2-6.fc41.src.rpm,Default Initialized,Default Initialized,2.4.2,6.fc41,EXISTS_IN_EXT,2.4.2,Y,1,Jyoti,NA,Falak,NA,https://github.com/jykanase/azurelinux.git,topic_CharLS
GConf2,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,3.2.6,31.azl3,1,1,GConf2-3.2.6-42.fc41.src.rpm,Default Initialized,Default Initialized,3.2.6,42.fc41,EXISTS_IN_EXT,3.2.6,Y,1,Jyoti,NA,NA,NA,NA,NA
GeoIP,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,1.6.12,8.azl3,1,1,GeoIP-1.6.12-19.fc41.src.rpm,Default Initialized,Default Initialized,1.6.12,19.fc41,EXISTS_IN_EXT,1.6.12,Y,1,Jyoti,NA,NA,NA,NA,NA
GeoIP-GeoLite-data,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,2018.06,12.azl3,1,1,GeoIP-GeoLite-data-2018.06-17.fc41.src.rpm,Default Initialized,Default Initialized,2018.06,17.fc41,EXISTS_IN_EXT,2018.06,Y,1,Jyoti,NA,NA,NA,NA,NA
Judy,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,1.0.5,23.azl3,1,1,Judy-1.0.5-37.fc41.src.rpm,Default Initialized,Default Initialized,1.0.5,37.fc41,EXISTS_IN_EXT,1.0.5,Y,1,Jyoti,NA,NA,NA,NA,NA
LibRaw,NA,P1,Jyoti,10618,https://github.com/microsoft/azurelinux/pull/10618,MERGED,2024-10-03T15:18:51Z,Y,Y,Built,0.19.5,5.azl3,1,1,LibRaw-0.21.3-1.fc41.src.rpm,Default Initialized,Default Initialized,0.21.3,1.fc41,EXISTS_IN_EXT,0.19.5,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10618,Falak,NA,https://github.com/jykanase/azurelinux.git,topic_LibRaw
ORBit2,NA,P1,Jyoti,NA,NA,NA,NA,N,N,Built,2.14.19,30.azl3,1,1,ORBit2-2.14.19-37.fc41.src.rpm,Default Initialized,Default Initialized,2.14.19,37.fc41,EXISTS_IN_EXT,2.14.19,N,0,Jyoti,NA,NA,NA,NA,NA
OpenEXR,openexr,P1,Jyoti,NA,NA,NA,NA,Y,Y,Built,2.3.0,6.azl3,1,1,openexr-3.2.4-3.fc41.src.rpm,Default Initialized,Default Initialized,3.2.4,3.fc41,EXISTS_IN_EXT,2.3.0,N,0,Jyoti,NA,NA,NA,NA,NA
PEGTL,NA,P1,Jyoti,10695,https://github.com/microsoft/azurelinux/pull/10695,MERGED,2024-10-11T07:28:26Z,N,Y,Built,2.8.3,2.azl3,1,1,PEGTL-2.8.3-11.fc41.src.rpm,Default Initialized,Default Initialized,2.8.3,11.fc41,EXISTS_IN_EXT,2.8.3,Y,1,Jyoti,https://github.com/microsoft/azurelinux/pull/10695,Falak,NA,https://github.com/jykanase/azurelinux.git,topic_PEGTL
PyGreSQL,NA,P1,Jyoti,10544,https://github.com/microsoft/azurelinux/pull/10544,DRAFT,2024-09-25T08:34:42Z,Y,Y,Built,5.2.2,3.azl3,1,1,PyGreSQL-6.0.1-3.fc41.src.rpm,Default Initialized,Default Initialized,6.0.1,3.fc41,EXISTS_IN_EXT,5.2.2,N,0,Jyoti,NA,Falak,NA,https://github.com/jykanase/azurelinux.git,topic_PyGreSQL
